1,APT,Q,1,MCQ,Evaluate: [(2.39)^2-(1.61)^2]/[2.39-1.61],2,4,6,8,2,NULL,NULL,NULL
2,APT,Q,2,MCQ,What decimal of an hour is a second ?,0.0025,0.0256,0.00027,0.000126,3,NULL,NULL,NULL
3,APT,Q,3,MCQ,"If 2994 ö 14.5 = 172, then 29.94 ö 1.45 = ?",0.172,1.72,17.2,172,3,NULL,NULL,NULL
4,APT,Q,1,MCQ,"When 0.232323..... is converted into a fraction, then the result is:",1ö5,2ö9,23ö99,23ö100,3,NULL,NULL,NULL
5,APT,Q,2,MCQ,0.009öx=0.01; what is x?,0.0009,0.09,0.9,9,3,NULL,NULL,NULL
6,APT,Q,3,MCQ,3889 + 12.952 - ? = 3854.002,47.095,47.752,47.932,47.95,4,NULL,NULL,NULL
7,APT,Q,1,MCQ,0.04 x 0.0162 is equal to:,6.48 x 10-3,6.48 x 10-4,6.48 x 10-5,6.48 x 10-6,2,NULL,NULL,NULL
8,APT,Q,2,MCQ,"The price of commodity X increases by 40 paise every year, while the price of commodityY increases by 15 paise every year. If in 2001, the price of commodity X was Rs. 4.20 and that of Y was Rs. 6.30, in which year commodity X will cost 40 paise more than the commodity Y ?",2010,2011,2013,2014,2,NULL,NULL,NULL
9,APT,Q,3,MCQ,617 + 6.017 + 0.617 + 6.0017 = ?,6.2963,62.965,629.6357,None of these,3,NULL,NULL,NULL
10,APT,Q,1,MCQ,0.002 x 0.5 = ?,0.0001,0.001,0.01,0.1,2,NULL,NULL,NULL
11,APT,Q,2,MCQ,The rational number for recurring decimal 0.125125.... is:,63/487,119/993,125/999,None of these,3,NULL,NULL,NULL
12,APT,Q,3,MCQ,34.95 + 240.016 + 23.98 = ?,298.0946,298.111,298.946,299.09,3,NULL,NULL,NULL
13,APT,Q,1,MCQ,How many digits will be there to the right of the decimal point in the product of 95.75 and .02554 ?,5,6,7,None of these,2,NULL,NULL,NULL
14,APT,Q,2,MCQ,4.036 divided by 0.04 gives :,1.009,10.09,100.9,None of these,3,NULL,NULL,NULL
15,APT,Q,3,MCQ,"Find the greatest number that will divide 43, 91 and 183 so as to leave the same remainder in each case.",4,7,9,13,1,NULL,NULL,NULL
16,APT,Q,1,MCQ,The H.C.F. of two numbers is 23 and the other two factors of their L.C.M. are 13 and 14. The larger of the two numbers is:,276,299,322,345,3,NULL,NULL,NULL
17,APT,Q,2,MCQ,"Six bells commence tolling together and toll at intervals of 2, 4, 6, 8 10 and 12 seconds respectively. In 30 minutes, how many times do they toll together ?",4,10,15,16,4,NULL,NULL,NULL
18,APT,Q,3,MCQ,"The greatest number of four digits which is divisible by 15, 25, 40 and 75 is:",9000,9400,9600,9800,3,NULL,NULL,NULL
19,APT,Q,1,MCQ,"The product of two numbers is 4107. If the H.C.F. of these numbers is 37, then the greater number is",101,107,111,185,3,NULL,NULL,NULL
20,APT,Q,2,MCQ,"Let N be the greatest number that will divide 1305, 4665 and 6905, leaving the same remainder in each case. Then sum of the digits in N is:",4,5,6,8,1,NULL,NULL,NULL
21,APT,Q,3,MCQ,Three number are in the ratio of 3 : 4 : 5 and their L.C.M. is 2400. Their H.C.F. is:,40,80,120,200,1,NULL,NULL,NULL
22,APT,Q,1,MCQ,"The G.C.D. of 1.08, 0.36 and 0.9 is:",0.03,0.9,0.18,1.108,3,NULL,NULL,NULL
23,APT,Q,2,MCQ,The product of two numbers is 2028 and their H.C.F. is 13. The number of such pairs is:,1,2,3,4,2,NULL,NULL,NULL
24,APT,Q,3,MCQ,"The least multiple of 7, which leaves a remainder of 4, when divided by 6, 9, 15 and 18 is",74,94,184,364,4,NULL,NULL,NULL
25,APT,Q,1,MCQ,"Find the lowest common multiple of 24, 36 and 40",120,240,360,480,3,NULL,NULL,NULL
26,APT,Q,2,MCQ,"The least number which should be added to 2497 so that the sum is exactly divisible by 5, 6, 4 and 3 is:",3,13,23,33,3,NULL,NULL,NULL
27,APT,Q,3,MCQ,"The least number which when divided by 5, 6 , 7 and 8 leaves a remainder 3, but when divided by 9 leaves no remainder, is:",1677,1683,2523,3363,2,NULL,NULL,NULL
28,APT,Q,1,MCQ,The ratio of two numbers is 3 : 4 and their H.C.F. is 4. Their L.C.M. is:,12,16,24,48,4,NULL,NULL,NULL
29,APT,Q,2,MCQ,252 can be expressed as a product of primes as,2 x 2 x 3 x 3 x 7,2 x 2 x 2 x 3 x 7,3 x 3 x 3 x 3 x 7,2 x 3 x 3 x 3 x 7,1,NULL,NULL,NULL
30,APT,Q,3,MCQ,"A train covers a distance in 50 min ,if it runs at a speed of 48kmph on an average.The speed at which the train must run to reduce the time of journey to 40min will be.",60kmph,59.9kmph,61kmph,62kmph,1,NULL,NULL,NULL
